DateTime;Open;High;Low;Close;Volume
2015-05-14;235.72;238.39;232.1;236.7;19130.363731680005
2015-05-15;236.7;239.0;233.88;237.3;9526.75229743002
2015-05-16;237.24;237.58;234.0;235.7;6100.362871390015
2015-05-17;235.85;238.24;235.6;236.15;4806.5601557400105
2015-05-18;236.25;237.25;229.0;232.82;14181.5302039301
2015-05-19;232.83;233.99;231.19;231.7;5868.661401370035
2015-05-20;231.56;235.24;231.56;234.24;11419.180367010047
2015-05-21;234.26;236.5;233.9;235.27;10508.63081480002
2015-05-22;235.25;241.83;234.59;240.97;22839.333697769962
2015-05-23;240.97;241.2;237.54;238.81;8514.038277379996
2015-05-24;238.86;242.98;238.52;240.96;7277.277084440009
2015-05-25;240.92;241.12;236.1;237.1;8684.72025188011
2015-05-26;237.1;238.5;235.26;237.36;8818.487223630069
2015-05-27;237.37;239.3;235.0;236.48;9190.040450760016
2015-05-28;236.75;237.5;235.85;236.86;5791.2187079000605
2015-05-29;236.83;237.16;235.02;236.52;6839.528843700132
2015-05-30;236.72;236.73;228.2;232.54;14770.990402600084
2015-05-31;232.35;232.69;227.0;228.7;11657.274491800103
2015-06-01;228.38;230.89;219.71;222.0;31722.403628330067
2015-06-02;222.01;226.0;220.97;224.68;16451.17196391997
2015-06-03;224.7;227.0;222.26;225.14;17205.46368926002
2015-06-04;225.14;225.77;222.64;223.24;11211.322435400063
2015-06-05;223.24;229.23;222.65;224.51;17603.334919230067
2015-06-06;224.7;228.0;223.9;225.66;6830.975983460006
2015-06-07;225.69;227.0;222.29;223.26;17255.895481479907
2015-06-08;223.29;230.63;223.25;228.76;28828.662382480034
2015-06-09;228.79;232.07;227.79;229.06;16389.23268951016
2015-06-10;229.06;229.97;227.48;228.6;10773.512622760145
2015-06-11;228.61;230.7;228.6;230.0;9540.223746160205
2015-06-12;229.99;231.34;229.11;229.55;9752.03407847004
2015-06-13;229.51;234.3;228.4;232.87;11058.627095090042
2015-06-14;232.86;235.44;232.51;233.54;8262.111096590063
2015-06-15;233.5;238.16;233.35;236.98;19153.661362609928
2015-06-16;236.97;254.0;236.0;252.17;50864.758323821385
2015-06-17;252.19;259.1;246.0;248.95;47507.56832004957
2015-06-18;248.96;253.7;243.0;249.51;27557.794017728993
2015-06-19;249.38;252.13;243.5;244.56;23929.355700239892
2015-06-20;244.56;245.9;240.0;245.38;23906.500214340213
2015-06-21;245.38;245.69;241.09;244.25;8170.861770020088
2015-06-22;244.25;247.99;243.5;246.67;18508.52655820019
2015-06-23;246.69;247.35;242.0;244.25;11550.643655440168
2015-06-24;244.19;244.19;239.0;239.8;15567.444066280133
2015-06-25;239.75;243.0;239.5;242.05;8703.176192500037
2015-06-26;242.15;243.9;240.61;243.29;10163.370705500007
2015-06-27;243.29;251.77;242.6;251.61;18134.806469989926
2015-06-28;251.6;252.06;247.25;248.71;12904.130852380094
2015-06-29;248.71;257.74;248.57;256.69;34766.031629739715
2015-06-30;256.7;269.0;253.05;263.07;47278.28915101996
2015-07-01;262.9;264.81;252.77;258.1;21543.00131961944
2015-07-02;258.08;262.61;253.0;254.52;17333.69829282001
2015-07-03;254.52;256.9;252.11;256.09;11646.455995540096
2015-07-04;256.12;262.64;253.57;260.58;9650.009147110062
2015-07-05;260.57;275.88;258.0;271.96;47847.85650460032
2015-07-06;271.82;278.69;267.33;269.23;56663.3721803999
2015-07-07;269.24;271.5;262.61;265.72;22261.54092506998
2015-07-08;265.78;274.11;263.0;270.52;35178.24762291025
2015-07-09;270.49;274.0;266.22;269.23;24012.137251439042
2015-07-10;269.22;296.1;268.58;285.36;89653.52305406412
2015-07-11;285.35;301.49;283.46;293.18;39246.40431142952
2015-07-12;293.19;316.23;291.81;311.15;60434.984018220086
